trial,sc,dc,latency
82,2,3,7399
83,2,3,4294966000
84,2,3,4328
85,2,3,83804
86,2,3,9434
87,2,3,4294966888
88,2,3,7917
89,2,3,4439
90,2,3,19794
91,2,3,7510
92,2,3,16131
93,2,3,73888
94,2,3,72556
95,2,3,21607
96,2,3,23531
97,2,3,20090
98,2,3,12949
99,2,3,83175
0,3,0,2961
1,3,0,16262
2,3,0,6420
3,3,0,11711
4,3,0,84176
5,3,0,9955
6,3,0,15708
7,3,0,23050
8,3,0,8917
9,3,0,15633
10,3,0,10786
11,3,0,8639
12,3,0,9990
13,3,0,16077
14,3,0,10545
15,3,0,5661
16,3,0,11322
17,3,0,9472
18,3,0,10470
19,3,0,35131
20,3,0,8732
21,3,0,17796
22,3,0,18020
23,3,0,17278
24,3,0,8564
25,3,0,29932
26,3,0,6438
27,3,0,31617
28,3,0,15208
29,3,0,10156
30,3,0,13245
31,3,0,5900
32,3,0,8139
33,3,0,6141
34,3,0,21350
35,3,0,16799
36,3,0,8548
37,3,0,10398
38,3,0,7918
39,3,0,8363
40,3,0,22756
41,3,0,9436
42,3,0,18612
43,3,0,19019
44,3,0,8067
45,3,0,17058
46,3,0,7326
47,3,0,8030
48,3,0,14614
49,3,0,8917
50,3,0,14393
51,3,0,18519
52,3,0,16225
53,3,0,31617
54,3,0,15670
55,3,0,32838
56,3,0,9306
57,3,0,11432
58,3,0,8139
59,3,0,5808
60,3,0,6328
61,3,0,9545
62,3,0,6178
63,3,0,7288
64,3,0,7547
65,3,0,6326
66,3,0,7584
67,3,0,7510
68,3,0,8065
69,3,0,14318
70,3,0,7473
71,3,0,7806
72,3,0,10100
73,3,0,14577
74,3,0,8250
75,3,0,4294966814
76,3,0,7214
77,3,0,13837
78,3,0,14651
79,3,0,7362
80,3,0,12875
81,3,0,8176
82,3,0,7658
83,3,0,14688
84,3,0,14688
85,3,0,7806
86,3,0,10507
87,3,0,14207
88,3,0,6770
89,3,0,19295
90,3,0,18111
91,3,0,32911
92,3,0,32430
93,3,0,30284
94,3,0,14688
95,3,0,15946
96,3,0,15946
97,3,0,8472
98,3,0,17019
99,3,0,30810
0,3,1,4393
1,3,1,80206
2,3,1,4245
3,3,1,78578
4,3,1,12792
5,3,1,26186
6,3,1,4294965103
7,3,1,24447
8,3,1,4615
9,3,1,78763
10,3,1,11053
11,3,1,7131
12,3,1,7020
13,3,1,14605
14,3,1,73953
15,3,1,4294967027
16,3,1,1803
17,3,1,4134
18,3,1,80724
19,3,1,78467
20,3,1,6613
21,3,1,16973
22,3,1,17269
23,3,1,10720
24,3,1,8500
25,3,1,7205
26,3,1,77394
27,3,1,4294967249
28,3,1,69550
29,3,1,4294967064
30,3,1,8537
31,3,1,8611
32,3,1,12579
33,3,1,8287
34,3,1,8167
35,3,1,8093
36,3,1,5984
37,3,1,77801
38,3,1,8315
39,3,1,69920
40,3,1,3172
41,3,1,66405
42,3,1,70401
43,3,1,74545
44,3,1,75433
45,3,1,67811
46,3,1,70919
47,3,1,2950
48,3,1,7316
49,3,1,79096
50,3,1,5133
51,3,1,6761
52,3,1,8907
53,3,1,20303
54,3,1,5910
55,3,1,20858
